Instruction Name,Description,Url
"STSMINB, STSMINLB"," Atomic signed minimum on byte in memory, without return: an alias of LDSMINB, LDSMINAB, LDSMINALB, LDSMINLB.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STSMINB--STSMINLB--Atomic-signed-minimum-on-byte-in-memory--without-return--an-alias-of-LDSMINB--LDSMINAB--LDSMINALB--LDSMINLB-?lang=en
"STSMINH, STSMINLH"," Atomic signed minimum on halfword in memory, without return: an alias of LDSMINH, LDSMINAH, LDSMINALH, LDSMINLH.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STSMINH--STSMINLH--Atomic-signed-minimum-on-halfword-in-memory--without-return--an-alias-of-LDSMINH--LDSMINAH--LDSMINALH--LDSMINLH-?lang=en
STTR, Store Register (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STTR--Store-Register--unprivileged--?lang=en
STTRB, Store Register Byte (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STTRB--Store-Register-Byte--unprivileged--?lang=en
STTRH, Store Register Halfword (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STTRH--Store-Register-Halfword--unprivileged--?lang=en
"STUMAX, STUMAXL"," Atomic unsigned maximum on word or doubleword in memory, without return: an alias of LDUMAX, LDUMAXA, LDUMAXAL, LDUMAXL.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMAX--STUMAXL--Atomic-unsigned-maximum-on-word-or-doubleword-in-memory--without-return--an-alias-of-LDUMAX--LDUMAXA--LDUMAXAL--LDUMAXL-?lang=en
"STUMAXB, STUMAXLB"," Atomic unsigned maximum on byte in memory, without return: an alias of LDUMAXB, LDUMAXAB, LDUMAXALB, LDUMAXLB.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMAXB--STUMAXLB--Atomic-unsigned-maximum-on-byte-in-memory--without-return--an-alias-of-LDUMAXB--LDUMAXAB--LDUMAXALB--LDUMAXLB-?lang=en
"STUMAXH, STUMAXLH"," Atomic unsigned maximum on halfword in memory, without return: an alias of LDUMAXH, LDUMAXAH, LDUMAXALH, LDUMAXLH.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMAXH--STUMAXLH--Atomic-unsigned-maximum-on-halfword-in-memory--without-return--an-alias-of-LDUMAXH--LDUMAXAH--LDUMAXALH--LDUMAXLH-?lang=en
"STUMIN, STUMINL"," Atomic unsigned minimum on word or doubleword in memory, without return: an alias of LDUMIN, LDUMINA, LDUMINAL, LDUMINL.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMIN--STUMINL--Atomic-unsigned-minimum-on-word-or-doubleword-in-memory--without-return--an-alias-of-LDUMIN--LDUMINA--LDUMINAL--LDUMINL-?lang=en
"STUMINB, STUMINLB"," Atomic unsigned minimum on byte in memory, without return: an alias of LDUMINB, LDUMINAB, LDUMINALB, LDUMINLB.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMINB--STUMINLB--Atomic-unsigned-minimum-on-byte-in-memory--without-return--an-alias-of-LDUMINB--LDUMINAB--LDUMINALB--LDUMINLB-?lang=en
"STUMINH, STUMINLH"," Atomic unsigned minimum on halfword in memory, without return: an alias of LDUMINH, LDUMINAH, LDUMINALH, LDUMINLH.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUMINH--STUMINLH--Atomic-unsigned-minimum-on-halfword-in-memory--without-return--an-alias-of-LDUMINH--LDUMINAH--LDUMINALH--LDUMINLH-?lang=en
STUR, Store Register (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STUR--Store-Register--unscaled--?lang=en
STURB, Store Register Byte (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STURB--Store-Register-Byte--unscaled--?lang=en
STURH, Store Register Halfword (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STURH--Store-Register-Halfword--unscaled--?lang=en
STXP, Store Exclusive Pair of registers.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STXP--Store-Exclusive-Pair-of-registers-?lang=en
STXR, Store Exclusive Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STXR--Store-Exclusive-Register-?lang=en
STXRB, Store Exclusive Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STXRB--Store-Exclusive-Register-Byte-?lang=en
STXRH, Store Exclusive Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STXRH--Store-Exclusive-Register-Halfword-?lang=en
STZ2G," Store Allocation Tags, Zeroing.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STZ2G--Store-Allocation-Tags--Zeroing-?lang=en
STZG," Store Allocation Tag, Zeroing.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STZG--Store-Allocation-Tag--Zeroing-?lang=en
STZGM, Store Tag and Zero Multiple.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/STZGM--Store-Tag-and-Zero-Multiple-?lang=en
SUB (extended register), Subtract (extended register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUB--extended-register---Subtract--extended-register--?lang=en
SUB (immediate), Subtract (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUB--immediate---Subtract--immediate--?lang=en
SUB (shifted register), Subtract (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUB--shifted-register---Subtract--shifted-register--?lang=en
SUBG, Subtract with Tag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBG--Subtract-with-Tag-?lang=en
SUBP, Subtract Pointer.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBP--Subtract-Pointer-?lang=en
SUBPS," Subtract Pointer, setting Flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBPS--Subtract-Pointer--setting-Flags-?lang=en
SUBS (extended register)," Subtract (extended register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBS--extended-register---Subtract--extended-register---setting-flags-?lang=en
SUBS (immediate)," Subtract (immediate), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBS--immediate---Subtract--immediate---setting-flags-?lang=en
SUBS (shifted register)," Subtract (shifted register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SUBS--shifted-register---Subtract--shifted-register---setting-flags-?lang=en
SVC, Supervisor Call.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SVC--Supervisor-Call-?lang=en
"SWP, SWPA, SWPAL, SWPL", Swap word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SWP--SWPA--SWPAL--SWPL--Swap-word-or-doubleword-in-memory-?lang=en
"SWPB, SWPAB, SWPALB, SWPLB", Swap byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SWPB--SWPAB--SWPALB--SWPLB--Swap-byte-in-memory-?lang=en
"SWPH, SWPAH, SWPALH, SWPLH", Swap halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SWPH--SWPAH--SWPALH--SWPLH--Swap-halfword-in-memory-?lang=en
SXTB, Signed Extend Byte: an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SXTB--Signed-Extend-Byte--an-alias-of-SBFM-?lang=en
SXTH, Sign Extend Halfword: an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SXTH--Sign-Extend-Halfword--an-alias-of-SBFM-?lang=en
SXTW, Sign Extend Word: an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SXTW--Sign-Extend-Word--an-alias-of-SBFM-?lang=en
SYS, System instruction.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SYS--System-instruction-?lang=en
SYSL, System instruction with result.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SYSL--System-instruction-with-result-?lang=en
TBNZ, Test bit and Branch if Nonzero.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TBNZ--Test-bit-and-Branch-if-Nonzero-?lang=en
TBZ, Test bit and Branch if Zero.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TBZ--Test-bit-and-Branch-if-Zero-?lang=en
TLBI, TLB Invalidate operation: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TLBI--TLB-Invalidate-operation--an-alias-of-SYS-?lang=en
TSB CSYNC, Trace Synchronization Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TSB-CSYNC--Trace-Synchronization-Barrier-?lang=en
TST (immediate), Test bits (immediate): an alias of ANDS (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TST--immediate---Test-bits--immediate---an-alias-of-ANDS--immediate--?lang=en
TST (shifted register), Test (shifted register): an alias of ANDS (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/TST--shifted-register---Test--shifted-register---an-alias-of-ANDS--shifted-register--?lang=en
UBFIZ, Unsigned Bitfield Insert in Zero: an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UBFIZ--Unsigned-Bitfield-Insert-in-Zero--an-alias-of-UBFM-?lang=en
UBFM, Unsigned Bitfield Move.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UBFM--Unsigned-Bitfield-Move-?lang=en
UBFX, Unsigned Bitfield Extract: an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UBFX--Unsigned-Bitfield-Extract--an-alias-of-UBFM-?lang=en
UDF, Permanently Undefined.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UDF--Permanently-Undefined-?lang=en
UDIV, Unsigned Divide.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UDIV--Unsigned-Divide-?lang=en
UMADDL, Unsigned Multiply-Add Long.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UMADDL--Unsigned-Multiply-Add-Long-?lang=en
UMNEGL, Unsigned Multiply-Negate Long: an alias of UMSUBL.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UMNEGL--Unsigned-Multiply-Negate-Long--an-alias-of-UMSUBL-?lang=en
UMSUBL, Unsigned Multiply-Subtract Long.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UMSUBL--Unsigned-Multiply-Subtract-Long-?lang=en
UMULH, Unsigned Multiply High.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UMULH--Unsigned-Multiply-High-?lang=en
UMULL, Unsigned Multiply Long: an alias of UMADDL.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UMULL--Unsigned-Multiply-Long--an-alias-of-UMADDL-?lang=en
UXTB, Unsigned Extend Byte: an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UXTB--Unsigned-Extend-Byte--an-alias-of-UBFM-?lang=en
UXTH, Unsigned Extend Halfword: an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/UXTH--Unsigned-Extend-Halfword--an-alias-of-UBFM-?lang=en
WFE, Wait For Event.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/WFE--Wait-For-Event-?lang=en
WFET, Wait For Event with Timeout.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/WFET--Wait-For-Event-with-Timeout-?lang=en
WFI, Wait For Interrupt.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/WFI--Wait-For-Interrupt-?lang=en
WFIT, Wait For Interrupt with Timeout.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/WFIT--Wait-For-Interrupt-with-Timeout-?lang=en
XAFLAG, Convert floating-point condition flags from external format to Arm format.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/XAFLAG--Convert-floating-point-condition-flags-from-external-format-to-Arm-format-?lang=en
"XPACD, XPACI, XPACLRI", Strip Pointer Authentication Code.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/XPACD--XPACI--XPACLRI--Strip-Pointer-Authentication-Code-?lang=en
YIELD, YIELD.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/YIELD--YIELD-?lang=en
